Output_title,Group_Title,Chair_s,Group_Type,DOI,Output_Status,Review_period_starts,Review_period_ends,Description,Primary_WG_Focus_Output_focus,Primary_Domain_Field_of_Expertise,Recommendation_Card,Adoption_Story_Title
Health Research Performing Organisations (HRPOs) FAIR Guidelines,Raising FAIRness in health data and health research performing organisations (HRPOs) WG,"Shanmugasundaram Venkataraman, Celia Alvarez-Romero, Kristan Kang, Anupama Gururaj",Working Group,NA,Recommendations with RDA Endorsement in Process,2/11/2022,2/12/2022,"



Raising FAIRness in Health Data and health research performing organisations (HRPOs) WG



",NA,"Medical and Health Sciences, Medical and Health Sciences/Health biotechnology, Medical and Health Sciences/Basic medicine, Medical and Health Sciences/Clinical medicine, Medical and Health Sciences/Health sciences, Medical and Health Sciences/Other medical sciences",NA,NA
RDA Professionalising Data Stewardship - Data Stewardship Landscape Report Resource Matrix,Professionalising Data Stewardship IG,"Peter Neish, Romain DAVID, Debora Drucker, Christina Drummond, Yan Wang, Niklas Zimmer, Graham Parton, Jaana Pinnick",Interest Group,NA,RDA Supporting Outputs,31/10/2022,30/11/2022,"


Professionalising Data Stewardship IG


",NA,NA,NA,NA
RDA Professionalising Data Stewardship - Data Stewardship Landscape Initial Report,Professionalising Data Stewardship IG,"Peter Neish, Romain DAVID, Debora Drucker, Christina Drummond, Yan Wang, Niklas Zimmer, Graham Parton, Jaana Pinnick",Interest Group,NA,RDA Supporting Outputs,31/10/2022,30/11/2022,"


Professionalising Data Stewardship IG


",NA,NA,NA,NA
RDA Professionalising Data Stewardship - Models of Data Stewardship Survey Output Data,Professionalising Data Stewardship IG,"Peter Neish, Romain DAVID, Debora Drucker, Christina Drummond, Yan Wang, Niklas Zimmer, Graham Parton, Jaana Pinnick",Interest Group,NA,RDA Supporting Outputs,12/10/2022,12/11/2022,"This dataset contains responses collected in the Models of Data Stewardship survey completed by the Research Data Alliance Professionalising Data Stewardship Interest Group (RDA PDS-IG) in October-November 2021.
",NA,NA,NA,NA
RDA Professionalising Data Stewardship - Current Models of Data Stewardship: Survey Report,Professionalising Data Stewardship IG,"Peter Neish, Romain DAVID, Debora Drucker, Christina Drummond, Yan Wang, Niklas Zimmer, Graham Parton, Jaana Pinnick",Interest Group,NA,RDA Supporting Outputs,12/10/2022,12/11/2022,"This report presents the first analysis of the Models of Data Stewardship survey completed by the Research Data Alliance Professionalising Data Stewardship Interest Group (RDA PDS-IG) in October-November 2021.
",NA,NA,NA,NA
Defining Research Software a controversial discussion,FAIR for Research Software (FAIR4RS) WG,"Michelle Barker, Paula Andrea Martinez, Leyla Jael Castro, Daniel S. Katz, Neil Chue Hong, Jennifer Harrow, Fotis Psomopoulos, Carlos Martinez-Ortiz, Morane Gruenpeter",Working Group,10.5281/zenodo.5504016,Other Outputs (Not official),1/6/2021,1/9/2021,"Software is essential in modern research; it plays vital roles at multiple stages of the research lifecycle. The term Research Software is widely used in the academic community but, what do we mean when we use these terms? Software and research? When you think of software, you may think of a digital object that is executed on a machine. Yet software is more than just this, it is a complex and evolving artifact. It may be a concept or a project designed to solve a puzzle by a team or a community that develops its functionalities and algorithms, which might not be digital objects.",NA,Engineering and Technology,NA,NA
FAIR4RS Adoption support,FAIR for Research Software (FAIR4RS) WG,"Michelle Barker, Paula Andrea Martinez, Leyla Jael Castro, Daniel S. Katz, Neil Chue Hong, Jennifer Harrow, Fotis Psomopoulos, Carlos Martinez-Ortiz, Morane Gruenpeter",Working Group,https://doi.org/10.5281/zenodo.6258365,Other Outputs (Not official),14/04/2022,NA,"In September 2021, the FAIR4RS WG formed subgroups to address milestones for the adoption of the FAIR4RS principles. This document is the output of subgroup 6, focused on adoption support.
",NA,NA,NA,NA
10 Things for Curating Reproducible and FAIR Research,CURE-FAIR WG,"Limor Peer, FLORIO JR ARGUILLAS, Thu-Mai Christian, Tom Honeyman, Mandy Gooch",Historical Group,NA,RDA Endorsed Recommendations,13/04/2022,13/05/2022,"""10 Things for Curating Reproducible and FAIR Research,"" describes the key issues of curating reproducible and FAIR research (CURE-FAIR).
",NA,NA,https://www.rd-alliance.org/sites/default/files/10%20Things%20for%20Curating%20Reproducible%20and%20FAIR%20Research_0.pdf,NA
The FAIR4RS Team Working Together to Make Research Software FAIR,FAIR for Research Software (FAIR4RS) WG,"Michelle Barker, Paula Andrea Martinez, Leyla Jael Castro, Daniel S. Katz, Neil Chue Hong, Jennifer Harrow, Fotis Psomopoulos, Carlos Martinez-Ortiz, Morane Gruenpeter",Working Group,https://doi.org/10.5281/zenodo.5037157,Other Outputs (Not official),22/03/2022,NA,"The FAIR For Research Software Working Group (FAIR4RS WG) is leading the research software community in the crucial step of agreeing how to apply the FAIR principles to research software, including defining the principles and adoption guidelines. This group was convened under the Research Software Alliance (ReSA), the Research Data Alliance (RDA), and FORCE11 (the Future of Research Communication and Escholarship).",NA,NA,NA,NA
Recommendations for a minimal metadata set to aid harmonised discovery of learning resources,Education and Training on Handling of Research Data IG,"Laura Molloy, Katarzyna Biernacka, Amy Nurnberger",Interest Group,NA,RDA Supporting Outputs,5/4/2022,9/5/2022," 
As part of the Education And Training On Handling Of Research Data IG activities, the Minimal Metadata for Learning Resources Focus Group recommends a minimal set of metadata for learning resources. By comparing and analyzing existing learning resource-related metadata schemas to find the overlaps, the group provides guidance on metadata elements that should be minimally required for purposes of learning resource discovery to those concerned with supporting or providing training resources.  This set includes a report, a list of minimal metadata elements along with a data dictionary with examples for how to use the elements, and supporting documents.
",NA,NA,NA,NA
