book,word,n
"The final version of the RDA COVID-19 Recommendations and Guidelines for Data Sharing, published 30 June 2020",data,1849
RDA COVID-19 Guidelines and Recommendations (draft versions),data,1513
RDA Professionalising Data Stewardship - Data Stewardship Landscape Initial Report,data,1167
Top 10 FAIR Data & Software Things,data,925
"The final version of the RDA COVID-19 Recommendations and Guidelines for Data Sharing, published 30 June 2020",https,728
Engaging Researchers with Data Management The Cookbook,data,707
"The final version of the RDA COVID-19 Recommendations and Guidelines for Data Sharing, published 30 June 2020",covid,659
"The final version of the RDA COVID-19 Recommendations and Guidelines for Data Sharing, published 30 June 2020",19,652
RDA COVID-19 Guidelines and Recommendations (draft versions),2020,628
"The final version of the RDA COVID-19 Recommendations and Guidelines for Data Sharing, published 30 June 2020",2020,623
Health Research Performing Organisations (HRPOs) FAIR Guidelines,data,586
RDA COVID-19 Guidelines and Recommendations (draft versions),https,584
Compilation of Data Versioning Use cases from the RDA Data Versioning Working Group,data,560
RDA & CODATA Legal Interoperability Of Research Data Principles And Implementation Guidelines,data,554
RDA COVID-19 Guidelines and Recommendations (draft versions),covid,551
RDA COVID-19 Guidelines and Recommendations (draft versions),19,540
"The final version of the RDA COVID-19 Recommendations and Guidelines for Data Sharing, published 30 June 2020",research,503
A Fresh Look at FAIR for Research Software,software,432
RDA COVID-19 Guidelines and Recommendations (draft versions),research,431
Tracing Data - Data Citation Roadmap for Finland,data,410
Compilation of Data Versioning Use cases from the RDA Data Versioning Working Group,version,396
Array Database Assessment Recommendations,array,389
Developing a Research Data Policy Framework for All Journals and Publishers,data,388
Defining Research Software a controversial discussion,software,376
FAIR Principles for Research Software (FAIR4RS Principles),software,367
"The final version of the RDA COVID-19 Recommendations and Guidelines for Data Sharing, published 30 June 2020",sharing,365
FAIR Data Maturity Model specification and guidelines,data,355
RDA & CODATA Legal Interoperability Of Research Data Principles And Implementation Guidelines,research,351
Engaging Researchers with Data Management The Cookbook,research,339
Federated Identity Management for Research Collaborations,research,333
10 Things for Curating Reproducible and FAIR Research,data,328
Data Discovery Paradigms User Requirements and Recommendations for Data Repositories,data,327
RDA Research Data Collections WG Recommendations,collection,326
FAIR Data Maturity Model specification and guidelines - draft,data,321
Array Database Assessment Recommendations,data,302
Persistent identifiers Consolidated assertions,pid,298
Use cases and identifier schemes for persistent software source code identification (V1.1),software,294
Engaging Researchers with Data Management The Cookbook,researchers,286
Income Streams for Data Repositories,data,281
"The final version of the RDA COVID-19 Recommendations and Guidelines for Data Sharing, published 30 June 2020",guidelines,280
Defining Research Software a controversial discussion,research,277
Health Research Performing Organisations (HRPOs) FAIR Guidelines,research,276
"The final version of the RDA COVID-19 Recommendations and Guidelines for Data Sharing, published 30 June 2020",health,273
"The final version of the RDA COVID-19 Recommendations and Guidelines for Data Sharing, published 30 June 2020",doi.org,266
Engaging Researchers with Data Management The Cookbook,management,263
FAIR Data Maturity Model specification and guidelines,rda,262
Engaging Researchers with Data Management The Cookbook,university,253
FAIR Data Maturity Model specification and guidelines - draft,rda,250
RDA COVID-19 Guidelines and Recommendations (draft versions),guidelines,247
FAIR Data Maturity Model specification and guidelines,indicator,243
FAIR Data Maturity Model specification and guidelines - draft,indicator,240
10 Things for Curating Reproducible and FAIR Research,research,239
Recommendations and Capacity Development Resource Kit,data,238
RDA COVID-19 Guidelines and Recommendations (draft versions),recommendations,233
Machine Actionable Policy Templates - Practical Policy WG Recommendations,policy,233
Guidelines for publishing structured metadata on the Web,data,233
Sustainable Business Models for Brokering Middleware to support Research Interoperability,software,231
RDA & CODATA Legal Interoperability Of Research Data Principles And Implementation Guidelines,rights,227
Health Research Performing Organisations (HRPOs) FAIR Guidelines,fair,227
Versioning Data Is About More than Revisions A Conceptual Framework and Proposed Principles,data,222
RDA COVID-19 Guidelines and Recommendations (draft versions),software,222
RDA Professionalising Data Stewardship - Data Stewardship Landscape Initial Report,al,217
Results of an Analysis of Existing FAIR Assessment Tools,data,215
RDA & CODATA Legal Interoperability Of Research Data Principles And Implementation Guidelines,legal,215
Machine Actionable Policy Templates - Practical Policy WG Recommendations,0,215
RDA Research Data Collections WG Recommendations,description,214
Eleven Quick Tips for Finding Research Data,data,213
Health Research Performing Organisations (HRPOs) FAIR Guidelines,health,209
Top 10 FAIR Data & Software Things,research,205
RDA COVID-19 Guidelines and Recommendations (draft versions),sharing,204
RDA Professionalising Data Stewardship - Data Stewardship Landscape Initial Report,research,201
Developing a Research Data Policy Framework for All Journals and Publishers,policy,201
FAIR Data Maturity Model specification and guidelines - draft,fair,200
