pathway,Text,n
Data Infrastructures and Environments - Institutional,software,74
Data Infrastructures and Environments - Institutional,code,32
Data Infrastructures and Environments - Institutional,source,32
Data Infrastructures and Environments - Institutional,recommendations,23
Data Infrastructures and Environments - Institutional,sensitive,21
Data Infrastructures and Environments - Institutional,community,20
Data Infrastructures and Environments - Institutional,citation,20
Data Infrastructures and Environments - Institutional,earth,17
Data Infrastructures and Environments - Institutional,eses,16
Data Infrastructures and Environments - Institutional,identification,14
Data Infrastructures and Environments - International,software,85
Data Infrastructures and Environments - International,community,81
Data Infrastructures and Environments - International,samples,72
Data Infrastructures and Environments - International,commons,70
Data Infrastructures and Environments - International,pid,55
Data Infrastructures and Environments - International,fair,45
Data Infrastructures and Environments - International,code,41
Data Infrastructures and Environments - International,discovery,34
Data Infrastructures and Environments - International,repositories,33
Data Infrastructures and Environments - International,source,32
Data Infrastructures and Environments - Regional or Disciplinary,fair,80
Data Infrastructures and Environments - Regional or Disciplinary,samples,46
Data Infrastructures and Environments - Regional or Disciplinary,vres,33
Data Infrastructures and Environments - Regional or Disciplinary,physical,32
Data Infrastructures and Environments - Regional or Disciplinary,code,31
Data Infrastructures and Environments - Regional or Disciplinary,eses,31
Data Infrastructures and Environments - Regional or Disciplinary,repositories,30
Data Infrastructures and Environments - Regional or Disciplinary,task,30
Data Infrastructures and Environments - Regional or Disciplinary,discovery,30
Data Infrastructures and Environments - Regional or Disciplinary,ai,30
"Data Lifecycles - Versioning, Provenance, Citation, and Reward",versioning,60
"Data Lifecycles - Versioning, Provenance, Citation, and Reward",samples,46
"Data Lifecycles - Versioning, Provenance, Citation, and Reward",sharc,41
"Data Lifecycles - Versioning, Provenance, Citation, and Reward",recommendations,37
"Data Lifecycles - Versioning, Provenance, Citation, and Reward",activities,37
"Data Lifecycles - Versioning, Provenance, Citation, and Reward",discovery,37
"Data Lifecycles - Versioning, Provenance, Citation, and Reward",community,32
"Data Lifecycles - Versioning, Provenance, Citation, and Reward",fair,32
"Data Lifecycles - Versioning, Provenance, Citation, and Reward",task,32
"Data Lifecycles - Versioning, Provenance, Citation, and Reward",physical,32
Discipline Focused Data Issues,community,96
Discipline Focused Data Issues,engagement,34
Discipline Focused Data Issues,code,31
Discipline Focused Data Issues,researchers,29
Discipline Focused Data Issues,fairsharing,29
Discipline Focused Data Issues,health,29
Discipline Focused Data Issues,life,25
Discipline Focused Data Issues,chemistry,24
Discipline Focused Data Issues,fair,22
Discipline Focused Data Issues,guidance,21
"FAIR, CARE, TRUST - Adoption, Implementation, and Deployment",fair,158
"FAIR, CARE, TRUST - Adoption, Implementation, and Deployment",community,73
"FAIR, CARE, TRUST - Adoption, Implementation, and Deployment",principles,63
"FAIR, CARE, TRUST - Adoption, Implementation, and Deployment",software,63
"FAIR, CARE, TRUST - Adoption, Implementation, and Deployment",pid,55
"FAIR, CARE, TRUST - Adoption, Implementation, and Deployment",code,46
"FAIR, CARE, TRUST - Adoption, Implementation, and Deployment",development,39
"FAIR, CARE, TRUST - Adoption, Implementation, and Deployment",training,39
"FAIR, CARE, TRUST - Adoption, Implementation, and Deployment",blockchain,36
"FAIR, CARE, TRUST - Adoption, Implementation, and Deployment",vres,33
"FAIR, CARE, TRUST - Principles",fair,193
"FAIR, CARE, TRUST - Principles",software,135
"FAIR, CARE, TRUST - Principles",principles,71
"FAIR, CARE, TRUST - Principles",code,47
"FAIR, CARE, TRUST - Principles",source,40
"FAIR, CARE, TRUST - Principles",vres,33
"FAIR, CARE, TRUST - Principles",digital,31
"FAIR, CARE, TRUST - Principles",objects,29
"FAIR, CARE, TRUST - Principles",health,26
"FAIR, CARE, TRUST - Principles",scholix,24
Other,community,63
Other,sharc,30
Other,ai,30
Other,eosc,23
Other,researchers,21
Other,dv,19
Other,policies,18
Other,fairsharing,18
Other,communities,17
Other,engagement,17
Research Software,software,68
Research Software,fair,29
Research Software,code,26
Research Software,blockchain,19
Research Software,source,16
Research Software,schema,13
Research Software,reproducibility,12
Research Software,ml,12
Research Software,discussion,10
Research Software,force11,9
"Semantics, Ontology, Standardisation",fair,58
"Semantics, Ontology, Standardisation",pid,50
"Semantics, Ontology, Standardisation",health,41
"Semantics, Ontology, Standardisation",blockchain,40
"Semantics, Ontology, Standardisation",metadata,36
"Semantics, Ontology, Standardisation",community,36
"Semantics, Ontology, Standardisation",strategies,32
"Semantics, Ontology, Standardisation",chemistry,24
"Semantics, Ontology, Standardisation",semantic,23
"Semantics, Ontology, Standardisation",ai,22
"Training, Stewardship, and Data Management Planning",community,105
"Training, Stewardship, and Data Management Planning",researchers,50
"Training, Stewardship, and Data Management Planning",engagement,47
"Training, Stewardship, and Data Management Planning",training,39
"Training, Stewardship, and Data Management Planning",stewardship,36
"Training, Stewardship, and Data Management Planning",career,36
"Training, Stewardship, and Data Management Planning",quality,31
"Training, Stewardship, and Data Management Planning",education,29
"Training, Stewardship, and Data Management Planning",fairsharing,29
"Training, Stewardship, and Data Management Planning",fair,28
