Plenary,NID,Link_to_submission,Meeting_title,Group_name,Applicable_Pathways
P20,76532,https://www.rd-alliance.org/plenaries/rda-20th-plenary-meeting-gothenburg-hybrid/role-middleware-data-and-metadata-management,The Role of Middleware in Data and Metadata Management: National and Institutional Approaches Involving iRODS and Alternatives,"Research Data Architectures in Research Institutions IG
",Data Infrastructures and Environments - Institutional
P19,76532,https://www.rd-alliance.org/plenaries/rda-20th-plenary-meeting-gothenburg-hybrid/role-middleware-data-and-metadata-management,The Role of Middleware in Data and Metadata Management: National and Institutional Approaches Involving iRODS and Alternatives,"Research Data Architectures in Research Institutions IG
",Data Infrastructures and Environments - Institutional
P19,75254,https://www.rd-alliance.org/plenaries/rda-19th-plenary-meeting-part-international-data-week-20%E2%80%9323-june-2022-seoul-south-korea-19,Bringing Together Data Management and Computation - Social and Architectural Challenges,"Research Data Architectures in Research Institutions IG
",Data Infrastructures and Environments - Institutional
P19,75286,https://www.rd-alliance.org/plenaries/rda-19th-plenary-meeting-part-international-data-week-20%E2%80%9323-june-2022-seoul-south-korea-36,Software Source Code - policy and incentives,"Software Source Code IG
",Data Infrastructures and Environments - Institutional / Data Infrastructures and Environments - International
P19,75285,https://www.rd-alliance.org/plenaries/rda-19th-plenary-meeting-part-international-data-week-20%E2%80%9323-june-2022-seoul-south-korea-36,Software Source Code - policy and incentives,"Software Source Code IG
",Data Infrastructures and Environments - Institutional / Data Infrastructures and Environments - International
P20,76516,https://www.rd-alliance.org/plenaries/rda-20th-plenary-meeting-gothenburg-hybrid/continuing-circle-life-earth-and-environmental,"Continuing the Circle of Life of Earth and Environmental Science Data Infrastructure Projects: Maturing PARSEC and ENVRI-FAIR, Beginning New Adventures…","ESIP/RDA Earth, Space, and Environmental Sciences IG
",Data Infrastructures and Environments - Institutional / Data Infrastructures and Environments - Regional or Disciplinary / Data Infrastructures and Environments - International
P19,76516,https://www.rd-alliance.org/plenaries/rda-20th-plenary-meeting-gothenburg-hybrid/continuing-circle-life-earth-and-environmental,"Continuing the Circle of Life of Earth and Environmental Science Data Infrastructure Projects: Maturing PARSEC and ENVRI-FAIR, Beginning New Adventures…","ESIP/RDA Earth, Space, and Environmental Sciences IG
",Data Infrastructures and Environments - Institutional / Data Infrastructures and Environments - Regional or Disciplinary / Data Infrastructures and Environments - International
P19,75291,https://www.rd-alliance.org/plenaries/rda-19th-plenary-meeting-part-international-data-week-20%E2%80%9323-june-2022-seoul-south-korea-40,Science Communication for Research Data ,"Science communication for research data
","Data Infrastructures and Environments - Institutional / Data Lifecycles - Versioning, Provenance, Citation, and Reward"
P19,75269,https://www.rd-alliance.org/leveraging-data-community-strengths-and-high-performance-computing-opportunities,Leveraging Data community strengths and High Performance Computing opportunities,,"Data Infrastructures and Environments - Institutional / Data Lifecycles - Versioning, Provenance, Citation, and Reward"
P19,75256,https://www.rd-alliance.org/building-enhanced-fair-workflows-through-use-pids-within-and-between-interoperable-research-tools,Building enhanced FAIR Workflows through use of PIDs within and between interoperable research tools,,"Data Infrastructures and Environments - Institutional / Data Lifecycles - Versioning, Provenance, Citation, and Reward / Discipline Focused Data Issues"
P20,76509,https://www.rd-alliance.org/plenaries/rda-20th-plenary-meeting-gothenburg-hybrid/sensitive-data-contexts-and-disciplines-look,Sensitive data contexts and disciplines: A look at different approaches ,"Sensitive Data Interest Group
",Data Infrastructures and Environments - Institutional / Other
P19,76509,https://www.rd-alliance.org/plenaries/rda-20th-plenary-meeting-gothenburg-hybrid/sensitive-data-contexts-and-disciplines-look,Sensitive data contexts and disciplines: A look at different approaches ,"Sensitive Data Interest Group
",Data Infrastructures and Environments - Institutional / Other
P19,75223,https://www.rd-alliance.org/plenaries/rda-19th-plenary-meeting-part-international-data-week-20%E2%80%9323-june-2022-seoul-south-korea-8,PIDINST Recommendation,"Persistent Identification of Instruments WG
","Data Infrastructures and Environments - Institutional / Semantics, Ontology, Standardisation / Data Lifecycles - Versioning, Provenance, Citation, and Reward"
P20,76498,https://www.rd-alliance.org/plenaries/rda-20th-plenary-meeting-gothenburg-hybrid/adoption-meeting-wg-dynamic-data-citation,Adoption Meeting of the WG on Dynamic Data Citation,"Data Citation WG
","Data Infrastructures and Environments - Institutional / Training, Stewardship, and Data Management Planning / Data Lifecycles - Versioning, Provenance, Citation, and Reward"
P19,76498,https://www.rd-alliance.org/plenaries/rda-20th-plenary-meeting-gothenburg-hybrid/adoption-meeting-wg-dynamic-data-citation,Adoption Meeting of the WG on Dynamic Data Citation,"Data Citation WG
","Data Infrastructures and Environments - Institutional / Training, Stewardship, and Data Management Planning / Data Lifecycles - Versioning, Provenance, Citation, and Reward"
P19,75201,https://www.rd-alliance.org/plenaries/rda-19th-plenary-meeting-part-international-data-week-20%E2%80%9323-june-2022-seoul-south-korea-4,Adoption Meeting of the WG on Dynamic Data Citation,"Data Citation WG
","Data Infrastructures and Environments - Institutional / Training, Stewardship, and Data Management Planning / Data Lifecycles - Versioning, Provenance, Citation, and Reward"
P20,76524,https://www.rd-alliance.org/exploring-services-collections-data-library-congress,Exploring Services for Collections as Data at the Library of Congress ,,"Data Infrastructures and Environments - Institutional / Training, Stewardship, and Data Management Planning / Discipline Focused Data Issues"
P19,76524,https://www.rd-alliance.org/exploring-services-collections-data-library-congress,Exploring Services for Collections as Data at the Library of Congress ,,"Data Infrastructures and Environments - Institutional / Training, Stewardship, and Data Management Planning / Discipline Focused Data Issues"
P19,75214,https://www.rd-alliance.org/beyond-machine-actionable-dmps-lets-go-forward-together,Beyond machine-actionable DMPs - let's go forward together!,"DMP Common Standards WG
","Data Infrastructures and Environments - Institutional / Training, Stewardship, and Data Management Planning / Semantics, Ontology, Standardisation"
P20,76521,https://www.rd-alliance.org/plenaries/rda-20th-plenary-meeting-gothenburg-hybrid/data-repository-attributes-working-group-drawg,Data Repository Attributes Working Group (DRAWG) Working Meeting,"Data Repository Attributes WG
",Data Infrastructures and Environments - International
P19,76521,https://www.rd-alliance.org/plenaries/rda-20th-plenary-meeting-gothenburg-hybrid/data-repository-attributes-working-group-drawg,Data Repository Attributes Working Group (DRAWG) Working Meeting,"Data Repository Attributes WG
",Data Infrastructures and Environments - International
P19,75257,https://www.rd-alliance.org/plenaries/rda-19th-plenary-meeting-part-international-data-week-20%E2%80%9323-june-2022-seoul-south-korea-21,Data Repository Attributes Working Group (DRAWG) Launch Meeting,"Data Repository Attributes WG
",Data Infrastructures and Environments - International
P20,76199,https://www.rd-alliance.org/plenaries/rda-20th-plenary-meeting-gothenburg-hybrid/gorc-international-model-wg-reflections-and,GORC  International Model WG: Reflections and Document Development,"GORC International Model WG
",Data Infrastructures and Environments - International
P19,76199,https://www.rd-alliance.org/plenaries/rda-20th-plenary-meeting-gothenburg-hybrid/gorc-international-model-wg-reflections-and,GORC  International Model WG: Reflections and Document Development,"GORC International Model WG
",Data Infrastructures and Environments - International
